FID,CID,Type,POINT_X,POINT_Y
572, 0, 6, 255177.980932, 6249829.79679
573, 0, 6, 255193.340335, 6250907.37491
574, 0, 3, 256723.350867, 6249589.47467
575, 0, 6, 256005.352343, 6250022.11965
576, 0, 6, 255849.733887, 6251470.69194
577, 0, 6, 255323.000234, 6249862.1672
578, 0, 6, 256953.056948, 6251568.22644
579, 0, 6, 256118.985543, 6251072.39548
580, 0, 6, 256148.951555, 6249666.18905
581, 0, 6, 255178.085822, 6251099.43865
582, 0, 6, 255661.707488, 6251004.02883
583, 0, 6, 255819.055204, 6250306.92414
584, 0, 6, 256846.838377, 6250044.80675
585, 0, 6, 256124.709995, 6249786.27234
586, 0, 6, 255650.344717, 6250929.11205
587, 0, 6, 254724.357262, 6250783.0997
588, 0, 6, 255545.445742, 6250812.49989
589, 0, 6, 256660.642793, 6251026.18396
590, 0, 6, 254634.465346, 6250049.59172
591, 0, 6, 255866.377666, 6251769.83734
592, 0, 6, 255341.59238, 6250979.93492
593, 0, 6, 256012.227318, 6250009.01323
594, 0, 6, 254510.78775, 6250636.99461
595, 0, 6, 255903.263549, 6250632.33963
596, 0, 6, 256249.964244, 6250091.57613
597, 0, 6, 254540.402171, 6251479.59764
598, 0, 3, 256679.326867, 6249585.84221
599, 0, 6, 255341.261466, 6250601.32103
600, 0, 6, 255931.441323, 6250702.17744
601, 0, 6, 256099.513844, 6250770.11861
602, 0, 3, 256781.925501, 6249524.20204
