FID,CID,Type,POINT_X,POINT_Y
354, 0, 1, 12307044.541, 3384872.83239
355, 0, 1, 12307832.74, 3383507.98954
356, 0, 1, 12306266.7266, 3383098.91135
357, 0, 1, 12306843.3266, 3383088.69
358, 0, 1, 12306138.5028, 3383542.31393
359, 0, 1, 12306597.6885, 3383775.43306
360, 0, 1, 12306998.7769, 3384131.92691
361, 0, 1, 12306374.1761, 3383601.12756
362, 0, 1, 12306226.0419, 3384171.45217
363, 0, 1, 12306484.8958, 3383256.17096
364, 0, 1, 12307951.526, 3382941.00338
365, 0, 1, 12307209.4969, 3383796.43477
366, 0, 1, 12306984.6438, 3383712.07505
367, 0, 1, 12306898.0944, 3383163.06568
368, 0, 1, 12306856.9424, 3383587.62347
369, 0, 1, 12308398.8691, 3382703.45816
370, 0, 1, 12307179.1322, 3383818.05508
371, 0, 1, 12306105.7442, 3382863.81733
372, 0, 1, 12306335.9653, 3382741.47035
373, 0, 1, 12307633.5615, 3383897.27364
374, 0, 1, 12307131.8415, 3383333.80906
375, 0, 1, 12306266.9972, 3382883.29711
376, 0, 1, 12306256.6695, 3383186.41562
377, 0, 1, 12306995.694, 3383943.04204
378, 0, 1, 12307152.7644, 3383578.86297
379, 0, 1, 12306174.1497, 3382823.41494
380, 0, 1, 12306051.8158, 3384852.72154
381, 0, 1, 12306599.453, 3383739.27377
382, 0, 1, 12307976.1286, 3383819.55116
383, 0, 1, 12306902.3656, 3383187.29367
384, 0, 1, 12307158.0052, 3383842.13774
385, 0, 1, 12307675.6834, 3383876.75135
386, 0, 1, 12308060.667, 3383825.15414
387, 0, 1, 12307595.1487, 3383582.12896
388, 0, 1, 12306599.3081, 3383659.35673
389, 0, 1, 12306289.8156, 3382976.97727
390, 0, 1, 12307191.2582, 3383587.77211
391, 0, 1, 12306386.7677, 3382954.72039
392, 0, 1, 12306246.0791, 3384087.66721
393, 0, 1, 12307101.2768, 3384373.43618
394, 0, 1, 12306648.8048, 3383618.03976
395, 0, 1, 12308168.3925, 3382908.19408
396, 0, 1, 12307196.2628, 3384632.70226
397, 0, 1, 12306481.0707, 3383084.77887
398, 0, 1, 12306288.3368, 3383092.4218
399, 0, 1, 12307014.4928, 3383601.89
400, 0, 1, 12306929.5537, 3383603.76106
401, 0, 1, 12308122.6529, 3382942.50052
402, 0, 1, 12306407.8284, 3382963.10184
403, 0, 1, 12306845.2336, 3383091.09103
404, 0, 1, 12306371.6251, 3383614.73991
405, 0, 1, 12306975.4016, 3384813.69796
406, 0, 1, 12307995.7978, 3382943.0725
407, 0, 1, 12307171.3981, 3383442.82662
408, 0, 1, 12307370.7926, 3383473.09711
409, 0, 1, 12306800.3983, 3382972.30163
410, 0, 1, 12307434.4668, 3383892.20673
411, 0, 1, 12307104.1745, 3384326.66426
412, 0, 1, 12306111.1995, 3382666.642
413, 0, 1, 12306937.2217, 3383620.24749
414, 0, 1, 12307895.6233, 3383669.2182
415, 0, 1, 12307314.1805, 3383691.41611
416, 0, 1, 12306446.5694, 3383358.70807
417, 0, 1, 12307036.9766, 3384169.22861
418, 0, 1, 12306613.7227, 3383644.1734
419, 0, 1, 12307718.0006, 3383870.17686
420, 0, 1, 12307109.5686, 3384187.36119
421, 0, 1, 12306387.5364, 3383548.47965
422, 0, 1, 12306329.7466, 3383767.34499
423, 0, 1, 12307943.1765, 3382987.64091
424, 0, 1, 12308253.8221, 3382836.06168
425, 0, 1, 12307362.9552, 3383457.77549
426, 0, 1, 12307963.8747, 3383823.60983
427, 0, 1, 12306212.6494, 3384220.4892
428, 0, 1, 12307292.1105, 3383891.29967
429, 0, 1, 12308120.2872, 3382946.43352
